"","wave","countryOfBirth","Leave","Stay","stay_leave_ratio"
"1",1,"England",6973.09504572187,5847.77967472043,0.838620388274809
"2",1,"Northern Ireland",39.4625737180333,59.7535343109626,1.51418239311788
"3",1,"Other: Commonwealth member country",105.068479148484,156.204874211504,1.486695871849
"4",1,"Other: European Union member country",65.025472648528,223.147050962601,3.43168672019876
"5",1,"Other: Rest of world",112.916788865243,194.583010847783,1.72324251161625
"6",1,"Prefer not to answer",14.1889098284388,18.9675870069566,1.33678959386576
"7",1,"Republic of Ireland",29.8322524590409,62.2050777186423,2.08516195027676
"8",1,"Scotland",1003.73465460757,1392.58270658961,1.38740124214807
"9",1,"Wales",557.918740024896,615.539332137214,1.10327774992779
"10",1,NA,3.16953194187657,4.40594667201977,1.39009379076053
"11",2,"England",5752.3559945084,6006.49906400243,1.04418069217841
"12",2,"Northern Ireland",31.2284576113249,38.1296751641191,1.22099130346711
"13",2,"Other: Commonwealth member country",94.2362809508832,162.880472119003,1.72842636058503
"14",2,"Other: European Union member country",61.9016168498035,226.321200707911,3.65614360699254
"15",2,"Other: Rest of world",112.563189733647,158.942207570803,1.4120265065951
"16",2,"Prefer not to answer",25.8345776997603,27.2741738553,1.05572361864282
"17",2,"Republic of Ireland",14.8788745121774,50.9956110709553,3.42738363907961
"18",2,"Scotland",552.544905084153,815.789225403123,1.47642158654757
"19",2,"Wales",275.527703201194,338.787867845942,1.2295963850813
"20",2,NA,6.72030358012448,2.58791030382343,0.385088303373266
"21",3,"England",6186.36661074681,5968.64511752344,0.964806241381629
"22",3,"Northern Ireland",30.6705078747157,43.9442800872485,1.4327861888285
"23",3,"Other: Commonwealth member country",88.8362301151317,139.411462075943,1.56930862436718
"24",3,"Other: European Union member country",71.8050613841034,221.699100589474,3.08751355846003
"25",3,"Other: Rest of world",100.676436399323,182.338782963319,1.81113664214425
"26",3,"Prefer not to answer",27.8052740992587,42.3211902572494,1.52205621516882
"27",3,"Republic of Ireland",18.3222628560208,37.0793695861957,2.02373308785989
"28",3,"Scotland",518.361708111741,814.367275122847,1.571040573366
"29",3,"Wales",278.092638265471,363.739205547767,1.30797854922192
"30",3,NA,6.24619308071306,6.94641115297327,1.11210317439951
"31",4,"England",5241.95300240899,5334.53880717416,1.01766246372728
"32",4,"Northern Ireland",31.1330130529407,35.1477218238034,1.1289534284406
"33",4,"Other: Commonwealth member country",87.7571690954902,138.722675861351,1.58075604866429
"34",4,"Other: European Union member country",54.0953792664341,188.361909642875,3.48203325676196
"35",4,"Other: Rest of world",80.1555170177724,144.611520099995,1.80413682651353
"36",4,"Prefer not to answer",22.0568740400669,19.7593593616639,0.895836795629813
"37",4,"Republic of Ireland",26.1177714616914,43.7663919405858,1.67573225015698
"38",4,"Scotland",511.185774589079,790.52338990877,1.54645029107909
"39",4,"Wales",292.838034576236,385.358733789781,1.31594495348745
"40",4,NA,1796.13877410891,2144.99816302519,1.19422741379733
"41",6,"England",4629.29488148332,5654.32519542074,1.2214225579013
"42",6,"Northern Ireland",24.8108637404644,44.2201049205357,1.78228800831373
"43",6,"Other: Commonwealth member country",64.3106203557612,173.15935550579,2.69254680716632
"44",6,"Other: European Union member country",51.9327046485385,156.516980695513,3.01384227443501
"45",6,"Other: Rest of world",78.7963821300295,157.310235014447,1.99641443886159
"46",6,"Prefer not to answer",27.8739257240362,23.6803414819468,0.849551717845285
"47",6,"Republic of Ireland",20.0821315508589,45.8943869577984,2.28533444478086
"48",6,"Scotland",444.325256593926,823.680078462972,1.85377730894047
"49",6,"Wales",272.439621185183,396.58988956072,1.45569828586405
"50",6,NA,1272.75506736051,1896.85056290687,1.49035003792256
"51",7,"England",4663.98079761141,4414.15082965158,0.946434177411756
"52",7,"Northern Ireland",32.217545957523,37.1177144721379,1.15209626832147
"53",7,"Other: Commonwealth member country",69.1503428969854,85.8873905645845,1.24203853468279
"54",7,"Other: European Union member country",57.8123309028397,121.942607205617,2.1092836995373
"55",7,"Other: Rest of world",80.9998537161378,123.022390461567,1.5187976868785
"56",7,"Prefer not to answer",24.3538190896257,24.1708639647146,0.992487620761337
"57",7,"Republic of Ireland",16.2888301921286,27.6373216050645,1.69670389334772
"58",7,"Scotland",511.978078302765,717.650951052761,1.4017220296459
"59",7,"Wales",301.776761643754,290.345799545606,0.962121132071656
"60",7,NA,3987.5520128083,4474.8328855078,1.1222005057575
"61",8,"England",3965.76899071579,3438.04951008784,0.866931361392106
"62",8,"Northern Ireland",28.2254231738304,25.1471565228308,0.890939929153883
"63",8,"Other: Commonwealth member country",67.4115765492175,78.6949375342537,1.16738016766005
"64",8,"Other: European Union member country",38.6186060964002,77.0289997114825,1.99460849309791
"65",8,"Other: Rest of world",84.4852312532144,83.9209582805867,0.993321046007006
"66",8,"Prefer not to answer",14.2335553746684,17.0434120064983,1.19741073525667
"67",8,"Republic of Ireland",14.0348668329008,21.3975153507695,1.5245969630869
"68",8,"Scotland",470.982081517737,628.139172949903,1.3336795551239
"69",8,"Wales",254.280992900426,257.696532675625,1.01343214739033
"70",8,NA,5135.07404348917,5277.45971834861,1.02772806655826
"71",9,"England",3744.29769170932,3436.1330442682,0.917697610389404
"72",9,"Northern Ireland",25.3479638909456,16.5537063731247,0.653058622157723
"73",9,"Other: Commonwealth member country",49.3678284412228,76.063903091909,1.54075853635066
"74",9,"Other: European Union member country",34.0898743740935,69.4253713773884,2.03653937282174
"75",9,"Other: Rest of world",59.4368454091709,83.3521467364279,1.40236491628418
"76",9,"Prefer not to answer",15.0630481699152,18.5927563636755,1.23432894550587
