id,wt_new_W1_W13,euRefVoteW1,euRefVoteW2,euRefVoteW3,euRefVoteW4,euRefVoteW5,euRefVoteW6,euRefVoteW7,euRefVoteW8,euRefVoteW9,euRefVoteW10,euRefVoteW11,euRefVoteW12,euRefVoteW13
7642,0.4661587300778376,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7645,0.7872986359867336,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7649,2.7512931691881706,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7653,0.4661587300778376,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7657,0.33798897034875003,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7662,0.17521233630184188,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7666,0.3528448013046761,Don't know,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7668,1.2875382467086451,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7669,0.7083139503241558,Don't know,Leave the EU,Leave the EU,Leave the EU,,Don't know,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Don't know,Don't know,Don't know
7681,0.4374444581115192,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU
7688,0.2294641487919628,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7693,1.8722040227611587,Don't know,Don't know,Don't know,Don't know,,Don't know,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7699,1.1682285691177676,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7705,0.25053933850801097,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7707,0.06654794680227273,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7711,0.8920142862916698,Leave the EU,Leave the EU,Leave the EU,Don't know,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7713,0.9153401920465238,Leave the EU,,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7718,0.8519221667850684,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7721,2.0144799081549776,Leave the EU,Stay/remain in the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7722,1.868682301954959,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7724,0.8608099268977116,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7728,0.20159509441540724,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7731,0.15753540326731752,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7732,0.09663238794426922,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU
7735,0.5069708662285264,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7737,0.6258414624493385,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7739,0.6594039733035125,Leave the EU,Don't know,Leave the EU,Don't know,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7748,0.40169758861896904,Don't know,Don't know,Don't know,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7749,1.968179690379498,Leave the EU,,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7753,1.0445092305893295,Don't know,,Don't know,Don't know,,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7757,0.22808587029127936,Leave the EU,,Don't know,Leave the EU,,Don't know,Don't know,Don't know,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7760,0.2474186154311496,Stay/remain in the EU,Don't know,Stay/remain in the EU,Leave the EU,,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU
7766,0.5633006801146045,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7767,6.647987060012651,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7771,1.0293364726737866,Leave the EU,,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7772,3.2055834987942697,Don't know,Leave the EU,Leave the EU,Leave the EU,,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7775,0.4049893948558884,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7785,3.678294069837051,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU
7786,3.7277911240936183,Don't know,Stay/remain in the EU,I would/will not vote,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7787,0.2034419531845073,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7788,0.6264246226540648,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU,,Stay/remain in the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Don't know,Stay/remain in the EU
7819,0.056525911055093886,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7820,5.365873643779831,I would/will not vote,,I would/will not vote,I would/will not vote,,I would/will not vote,Don't know,I would/will not vote,,I would/will not vote,I would/will not vote,I would/will not vote,I would/will not vote
7826,1.1449292024126825,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7828,1.0533800298400458,Don't know,,Stay/remain in the EU,Don't know,,Don't know,Don't know,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7837,0.23337254686660466,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7838,2.7472752562385034,Leave the EU,Don't know,I would/will not vote,Don't know,,Don't know,Don't know,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7842,1.885921360341241,Leave the EU,,Leave the EU,Don't know,,Don't know,Leave the EU,I would/will not vote,,Don't know,Don't know,Don't know,Don't know
7848,0.6860370158484838,Leave the EU,,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7852,1.0263805989679788,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7853,1.0645267505397538,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7861,1.909095676721893,Don't know,Don't know,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Don't know,Don't know,Leave the EU,Don't know
7865,1.081110005915386,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7867,0.7065507570483531,Don't know,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Don't know,I would/will not vote,,Don't know,Don't know,Don't know,Don't know
7872,0.4999485697883212,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7873,0.5570497600667655,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7877,2.351560938435082,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7887,0.29022838465964657,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7888,0.5044726585178756,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7892,0.8290425647955794,Don't know,Don't know,Don't know,Don't know,,Don't know,Leave the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7894,0.1695013452953376,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7895,1.6730228869458668,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7898,0.17375934595315726,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU
7904,0.5539444806661954,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7905,0.13391711161940695,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,I would/will not vote,Don't know,Don't know
7909,1.727132001001629,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
7914,0.8501493466804516,Don't know,Don't know,Don't know,Don't know,,Don't know,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7930,1.1966445220608397,Don't know,Don't know,Don't know,Stay/remain in the EU,,Don't know,Don't know,Don't know,Leave the EU,Leave the EU,Leave the EU,Don't know,Leave the EU
7931,1.3176236734486588,Don't know,Don't know,Don't know,Don't know,,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
7942,0.34308540214694344,Leave the EU,Leave the EU,Leave the EU,Leave the EU,,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
