,"('England', ""Don't know"")","('England', 'I would/will not vote')","('England', 'Leave the EU')","('England', 'Stay/remain in the EU')","('Northern Ireland', ""Don't know"")","('Northern Ireland', 'Leave the EU')","('Northern Ireland', 'Stay/remain in the EU')","('Other: Commonwealth member country', ""Don't know"")","('Other: Commonwealth member country', 'I would/will not vote')","('Other: Commonwealth member country', 'Leave the EU')","('Other: Commonwealth member country', 'Stay/remain in the EU')","('Other: European Union member country', ""Don't know"")","('Other: European Union member country', 'Leave the EU')","('Other: European Union member country', 'Stay/remain in the EU')","('Other: Rest of world', ""Don't know"")","('Other: Rest of world', 'I would/will not vote')","('Other: Rest of world', 'Leave the EU')","('Other: Rest of world', 'Stay/remain in the EU')","('Prefer not to answer', ""Don't know"")","('Prefer not to answer', 'Leave the EU')","('Prefer not to answer', 'Stay/remain in the EU')","('Republic of Ireland', 'Leave the EU')","('Republic of Ireland', 'Stay/remain in the EU')","('Scotland', ""Don't know"")","('Scotland', 'I would/will not vote')","('Scotland', 'Leave the EU')","('Scotland', 'Stay/remain in the EU')","('Wales', ""Don't know"")","('Wales', 'I would/will not vote')","('Wales', 'Leave the EU')","('Wales', 'Stay/remain in the EU')","('Republic of Ireland', ""Don't know"")","('Republic of Ireland', 'I would/will not vote')",Waves
0,0.16526527405964325,0.02109054882870163,0.46760069810120686,0.3460434790104464,0.15822557351511438,0.3614961984415972,0.4802782280432887,0.07753164363819641,0.018655375628494845,0.16231803081408874,0.7414949499192198,0.03113128813366376,0.2329057409276954,0.7359629709386408,0.08674495248520639,0.02483565034613884,0.4923997399328951,0.3960196572357594,0.28834988133347517,0.6606089502808088,0.05104116838571581,0.3760043157039923,0.6239956842960077,0.10895566893674216,0.018953575757153233,0.3786118538764271,0.4934789014296777,0.07685073939589612,0.03259825499756371,0.39782554228392747,0.49272546332261263,0.1162196118388634,0.0782859548063895,1
1,0.16272489090126252,0.03432484489605353,0.44066783836369233,0.36228242583898973,0.1177659923902211,0.46711704921850744,0.4151169583912716,0.2571118912647833,0.0,0.1510321462542769,0.5918559624809396,0.17433989294816113,0.2549048052138705,0.5707553018379682,0.1287733396583094,0.0,0.46751101979091564,0.40371564055077463,0.0,0.6606089502808088,0.339391049719191,0.4542902705103818,0.5457097294896182,0.1414165321087381,0.01428470436071479,0.3720383903447513,0.472260373185796,0.1510631144687861,0.01944897392982605,0.3408639615076141,0.4886239500937738,0.0,0.0,2
2,0.15378763009629212,0.025423616308445675,0.46397847717168467,0.356810276423576,0.05111082216075699,0.49519008814112325,0.45369908969811995,0.084045271795923,0.0,0.15496956144562396,0.7609851667584528,0.11924998885516809,0.2917893130612117,0.58896069808362,0.12273327666061348,0.05466714553922354,0.43027492124432454,0.3923246565558381,0.0,0.6606089502808088,0.339391049719191,0.4168827994847199,0.4668975886764167,0.09942955359995008,0.03977096097866313,0.3359403988384224,0.5248590865829645,0.09110819101027721,0.01836611498752063,0.4056895787439027,0.4848361152582995,0.0,0.0,3
3,0.15046080599531914,0.04018750163314121,0.4387416201972044,0.37061007217433334,0.13435919817008005,0.45779207095376273,0.4078487308761575,0.017244635681886535,0.0,0.2203594576130521,0.7623959067050612,0.13728476253732444,0.30153091842926655,0.5611843190334088,0.04739837702645621,0.0,0.4220613870435715,0.5305402359299718,0.0,0.6606089502808088,0.339391049719191,0.4548164565171938,0.5451835434828062,0.11033314451824822,0.021256219875603288,0.34424361865930053,0.5241670169468482,0.07696232636719394,0.049772610632307535,0.3447265915556143,0.5285384714448842,0.0,0.0,4
4,0.16916078613815339,0.020251504364566297,0.40459778404659535,0.40598992545068385,0.1932934235440607,0.3670498488346782,0.4396567276212613,0.0,0.012467622416384003,0.20789183519666812,0.7796405423869476,0.14145902124170207,0.178001870148835,0.6805391086094628,0.030456915246281538,0.0,0.42264334876667425,0.5468997359870438,0.0,0.6606089502808088,0.339391049719191,0.29658515241547195,0.703414847584528,0.12480320539979581,0.02136276713293999,0.2816815776771796,0.5721524497900842,0.10659417821593029,0.04160622163237753,0.30956700498039547,0.5422325951712966,0.0,0.0,6
5,0.06551433595687903,0.006752975778480129,0.5221364073308975,0.4055962809337425,0.0,0.528243031450417,0.47175696854958327,0.045681757486607896,0.06518035303925448,0.18766205329730065,0.7014758361768368,0.02718391200424705,0.4716965526730501,0.5011195353227026,0.011128035189482889,0.0032460256926921077,0.502991100256579,0.4826348388612457,0.0,0.6606089502808088,0.339391049719191,0.5331024113235833,0.4668975886764167,0.06123507350427987,0.0070058931221329175,0.3613345121872802,0.5704245211863068,0.06576456228935988,0.014320165650547657,0.39467483264695213,0.5252404394131402,0.0,0.0,7
6,0.05811139318091451,0.006004428076384455,0.5270951579143887,0.4087890208283119,0.0,0.5054192032574716,0.4945807967425286,0.0,0.0,0.2748624853452049,0.7251375146547949,0.0,0.49229221297309117,0.5077077870269086,0.0032460256926921077,0.0,0.5033204873106024,0.49343348699670514,0.19541863977980517,0.4651903105010037,0.339391049719191,0.5331024113235833,0.4668975886764167,0.05183313185415024,0.0018685864177020218,0.3638233181067427,0.5824749636214048,0.030471538641320763,0.0,0.43509595648791766,0.5344325048707614,0.0,0.0,8
7,0.008199597620794728,0.0,0.5409715222071556,0.45082888017204875,0.0,0.5624840863336527,0.4375159136663475,0.0,0.0,0.29003701974063806,0.7099629802593618,0.0,0.3562591796779417,0.6437408203220581,0.0,0.0,0.48850612296257667,0.5114938770374232,0.19541863977980517,0.4651903105010037,0.339391049719191,0.5331024113235833,0.4668975886764167,0.0009171042903330007,0.0,0.3583336490291929,0.6407492466804738,0.0010098652919676456,0.0,0.4166076390946095,0.5823824956134229,0.0,0.0,9
8,0.03961069258901455,0.009757537430392135,0.49591964226739765,0.4547121277131949,0.0,0.5624840863336527,0.4375159136663475,0.05196655623143067,0.0,0.2377838560361956,0.7102495877323735,0.03113128813366376,0.4096097560838461,0.5592589557824899,0.0032460256926921077,0.0,0.4840600586762745,0.5126939156310331,0.19541863977980517,0.0,0.8045813602201947,0.4168827994847199,0.5831172005152802,0.0453297914430041,0.010361296175435549,0.3156092695031539,0.6286996428784063,0.012658174684325509,0.0021492844510241855,0.40801848944566005,0.5771740514189903,0.0,0.0,10
9,0.04282777319452933,0.019211699966038276,0.502810105583618,0.43515042125581344,0.0,0.5698312728088197,0.4301687271911804,0.03418787220824026,0.0,0.2732521449417148,0.6925599828500446,0.04916606181582012,0.3192719191339241,0.6315620190502554,0.0,0.03772568375904887,0.44440118730372796,0.5178731289372228,0.0,0.19541863977980517,0.8045813602201947,0.4168827994847199,0.5831172005152802,0.041767007756338737,0.009745328446883101,0.36602007945642756,0.5824675843403505,0.02524511619244413,0.010151627409859454,0.3822505760623264,0.58235268033537,0.0,0.0,11
10,0.04807015831390132,0.008522008414633835,0.5112631789746849,0.4321446542967795,0.0,0.5698312728088197,0.4301687271911804,0.0,0.0,0.28430883344695523,0.7156911665530445,0.04916606181582012,0.2524285013235653,0.6984054368606144,0.0032460256926921077,0.0,0.47888084537008474,0.5178731289372228,0.0,0.19541863977980517,0.8045813602201947,0.4168827994847199,0.5831172005152802,0.03669877829004366,0.0015248724931786195,0.32959455422712736,0.6321817949896502,0.027632011647291725,0.016420754851006313,0.38007873225131283,0.575868501250389,0.0,0.0,12
11,0.035842398981740534,0.006151632494869638,0.5052310991239674,0.45277486939942196,0.0,0.5452915035788302,0.4547084964211701,0.0,0.0,0.2533021672195184,0.7466978327804813,0.04738572460377084,0.33572773180678067,0.6168865435894482,0.0032460256926921077,0.0,0.4222775036752592,0.5744764706320485,0.0,0.19541863977980517,0.8045813602201947,0.3385968446783304,0.5831172005152802,0.033106904222406426,0.0018188779327809243,0.3483423211611598,0.6167318966836528,0.021953583537696508,0.012270382942326845,0.3897360708259929,0.5760399626939837,0.0,0.0,13
