,Waves,"('Any other Asian background', ""Don't know"")","('Any other Asian background', 'I would/will not vote')","('Any other Asian background', 'Leave the EU')","('Any other Asian background', 'Stay/remain in the EU')","('Any other mixed background', ""Don't know"")","('Any other mixed background', 'Leave the EU')","('Any other mixed background', 'Stay/remain in the EU')","('Any other white background', ""Don't know"")","('Any other white background', 'I would/will not vote')","('Any other white background', 'Leave the EU')","('Any other white background', 'Stay/remain in the EU')","('Bangladeshi', 'Stay/remain in the EU')","('Black African', ""Don't know"")","('Black African', 'Stay/remain in the EU')","('Black Caribbean', 'I would/will not vote')","('Black Caribbean', 'Leave the EU')","('Black Caribbean', 'Stay/remain in the EU')","('Chinese', ""Don't know"")","('Chinese', 'Leave the EU')","('Chinese', 'Stay/remain in the EU')","('Indian', ""Don't know"")","('Indian', 'Leave the EU')","('Indian', 'Stay/remain in the EU')","('Other ethnic group', ""Don't know"")","('Other ethnic group', 'Leave the EU')","('Other ethnic group', 'Stay/remain in the EU')","('Pakistani', ""Don't know"")","('Pakistani', 'Leave the EU')","('Pakistani', 'Stay/remain in the EU')","('Prefer not to say', ""Don't know"")","('Prefer not to say', 'Leave the EU')","('Prefer not to say', 'Stay/remain in the EU')","('White British', ""Don't know"")","('White British', 'I would/will not vote')","('White British', 'Leave the EU')","('White British', 'Stay/remain in the EU')","('White and Asian', ""Don't know"")","('White and Asian', 'Leave the EU')","('White and Asian', 'Stay/remain in the EU')","('White and Black African', 'Leave the EU')","('White and Black Caribbean', 'Leave the EU')","('White and Black Caribbean', 'Stay/remain in the EU')","('Black African', 'I would/will not vote')","('Indian', 'I would/will not vote')","('Black Caribbean', ""Don't know"")","('Black African', 'Leave the EU')","('Other ethnic group', 'I would/will not vote')","('Prefer not to say', 'I would/will not vote')"
0,2014-03-09,0.2944781035857918,0.2963770999488122,0.12006426324334946,0.2890805332220466,0.06409419027509689,0.15486935237502839,0.7810364573498748,0.03355201001230522,0.0032407526482875165,0.3744863162926145,0.5887209210467925,1.0,0.6377677878854765,0.3622322121145235,0.0887525914314042,0.020772314957401526,0.8904750936111944,0.17588742627654436,0.39993904694334526,0.4241735267801101,0.4658438836322208,0.13425055739084366,0.3999055589769357,0.12523814615180762,0.6340614702398918,0.24070038360830084,0.4133947977086649,0.34860669638343333,0.2379985059079017,0.1332817652285907,0.22181584861481646,0.644902386156593,0.14775570711275196,0.0212852264990755,0.47609068033569796,0.3548683860524728,0.31288887606826404,0.41970652963788413,0.2674045942938518,1.0,0.03331529150985522,0.9666847084901448,0.5729653453474957,0.0202697660474989,0.0887525914314042,0.06480244253798084,0.006923190702459379,0.2176592480209099
1,2014-06-25,0.5908552035346041,0.0,0.16592210179851977,0.24322269466687632,0.0,0.15486935237502839,0.8451306476249717,0.11428955049436615,0.0,0.3318664511266453,0.5538439983789881,1.0,0.2988464500133599,0.1281882046391444,0.16514166689979276,0.020772314957401526,0.8140860181428057,0.20868475827452954,0.39993904694334526,0.39137619478212493,0.4496532021165363,0.11398079134334475,0.4160962404926201,0.08271400733689625,0.7435498788960689,0.17373611376703488,0.0723886361966892,0.519450728088318,0.4081606357149928,0.03371869544750089,0.3153966519850986,0.6508846525674007,0.1577173525732564,0.027025746111318725,0.44656797283113625,0.3686889284842871,0.40510151907840736,0.3575153773710834,0.2373831035505092,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-10-17,0.0,0.5908552035346041,0.12006426324334946,0.2890805332220466,0.06409419027509689,0.3327651336188737,0.6031406761060294,0.0734014554684385,0.0414407707352684,0.3695593497179253,0.5155984240783674,1.0,0.16816358012783095,0.831836419872169,0.0,0.020772314957401526,0.8904750936111944,0.24809946722451093,0.365004738002007,0.3868957947734819,0.476529597084609,0.13780053924926683,0.3490988555558011,0.11412370435931479,0.7155741040168232,0.17030219162386215,0.410625643241057,0.2270090548359927,0.3623653019229502,0.23318173654991292,0.3153966519850986,0.4514216114649886,0.14102609289215584,0.024581008641362215,0.46862674077349836,0.3657661576929823,0.04030977688681883,0.4094182434944079,0.5502719796187733,1.0,0.0,1.0,0.0,0.0365710081103231,0.0,0.0,0.0,0.0
3,2015-03-30,0.045857838555170276,0.2963770999488122,0.41454236682914125,0.24322269466687632,0.06409419027509689,0.15486935237502839,0.7810364573498748,0.057588440744970944,0.0,0.3395453292050133,0.6028662300500154,1.0,0.0,0.3622322121145235,0.0,0.17199083061281478,0.8280091693871853,0.21316515828317267,0.39993904694334526,0.3868957947734819,0.3516302780081708,0.12466650479573307,0.5237032171960961,0.0513939486901625,0.6401645116513601,0.3084415396584775,0.30067229710646226,0.19621816534112693,0.5031095375524107,0.32823780973862904,0.22034057879638239,0.4514216114649886,0.1412854988068307,0.03504647547259025,0.4425967632579287,0.38107126246264933,0.0,0.4094182434944079,0.5905817565055921,1.0,0.03331529150985522,0.9666847084901448,0.5729653453474957,0.0,0.0,0.0,0.0,0.0
4,2015-05-26,0.0,0.2963770999488122,0.41454236682914125,0.2890805332220466,0.06409419027509689,0.15486935237502839,0.7810364573498748,0.06214025373051852,0.0,0.30706816510598894,0.6307915811634922,1.0,0.0,0.3622322121145235,0.01600739497772206,0.09351751141108368,0.8904750936111944,0.20868475827452954,0.2107371299928928,0.5805781117325775,0.32475388304009806,0.12466650479573307,0.5505796121641688,0.07050111387214134,0.6154833103986803,0.31401557572917843,0.527681351942455,0.18732907179280017,0.28498957626474475,0.3413922981621333,0.20718609037287816,0.4514216114649886,0.1577872142542138,0.02133154000996786,0.40101635534399227,0.4198648903918247,0.3531986529550829,0.4094182434944079,0.2373831035505092,1.0,0.03331529150985522,0.9666847084901448,0.0,0.0,0.0,0.6377677878854765,0.0,0.0
5,2016-05-4,0.0,0.0,0.41454236682914125,0.5854576331708589,0.06409419027509689,0.15486935237502839,0.7810364573498748,0.02409663961392704,0.016100314209812915,0.42476667856224054,0.5350363676140191,1.0,0.0,0.9351975574620192,0.0,0.10952490638880573,0.7800213485916672,0.037277732006628296,0.2031269817702452,0.7595952862231261,0.12967187138429173,0.36110354576577103,0.5092245828499373,0.021872733467777378,0.7372345554245693,0.233969520405194,0.03672437587625677,0.3251222885871938,0.6381533355365494,0.11744427880602279,0.3596614829554467,0.3052349902176206,0.06285446413205276,0.004715558166873798,0.5226180508881361,0.4098119268129366,0.31288887606826404,0.4094182434944079,0.27769288043732804,1.0,0.10251659855043549,0.8974834014495645,0.06480244253798084,0.0,0.11045374501952719,0.0,0.0,0.0
6,2016-06-22,0.0,0.0,0.41454236682914125,0.5854576331708589,0.06409419027509689,0.15486935237502839,0.7810364573498748,0.07386805743279795,0.0,0.41580505401785267,0.5103268885493489,1.0,0.0,0.9351975574620192,0.0,0.020772314957401526,0.8140860181428057,0.0,0.19493803246300598,0.8050619675369938,0.0202697660474989,0.4181062204908408,0.49045375787259576,0.028795924170236752,0.7338006332813967,0.2374034425483667,0.0,0.10088238821880896,0.8991176117811909,0.04177524608274836,0.39853160499154217,0.5596931489257094,0.05360865811191755,0.004805106560540939,0.5312041834938399,0.41038205183370097,0.31288887606826404,0.4258552651694635,0.26125585876227253,1.0,0.10251659855043549,0.8974834014495645,0.0,0.07117025558906466,0.16514166689979276,0.06480244253798084,0.0,0.0
7,2016-07-04,0.0,0.0,0.16592210179851977,0.8340778982014804,0.0,0.3968593238939706,0.6031406761060294,0.0,0.0,0.4317111858818134,0.5682888141181863,1.0,0.0,0.9351975574620192,0.0,0.1859139818571943,0.8140860181428057,0.0,0.19493803246300598,0.8050619675369938,0.0,0.34011688896536685,0.659883111034633,0.021872733467777378,0.7892469150671492,0.1888803514650735,0.0,0.0641580123425522,0.9358419876574477,0.0,0.32869092558972507,0.671309074410275,0.00783477436441217,0.0,0.5424550248956956,0.4497102007398908,0.0,0.4094182434944079,0.5905817565055921,1.0,0.10251659855043549,0.8974834014495645,0.0,0.0,0.0,0.06480244253798084,0.0,0.0
8,2016-12-12,0.0,0.0,0.12006426324334946,0.8799357367566507,0.0,0.21896354265012527,0.7810364573498748,0.0279877330845316,0.010477796004394389,0.4134394710188921,0.5480949998921816,1.0,0.06480244253798084,0.9351975574620192,0.0,0.14358957593994434,0.8564104240600557,0.0,0.1470674060149577,0.8529325939850422,0.07117025558906466,0.34011688896536685,0.5887128554455684,0.0,0.729607014757995,0.270392985242005,0.0,0.10088238821880896,0.8991176117811909,0.09544817065791988,0.28414357642708865,0.6204082529149915,0.03866345127496383,0.00983738277640638,0.4992186383310942,0.4522805276175345,0.09221264301014331,0.3172056004842646,0.5905817565055921,1.0,0.10251659855043549,0.8974834014495645,0.0,0.0,0.0,0.0,0.0,0.0
9,2017-05-03,0.0,0.0,0.12006426324334946,0.8799357367566507,0.0,0.21896354265012527,0.7810364573498748,0.05535173365505196,0.0343523720805102,0.3856591291040147,0.5246367651604227,1.0,0.0,0.9351975574620192,0.0,0.10952490638880573,0.8564104240600557,0.0,0.13887845670771845,0.8611215432922814,0.07117025558906466,0.36038665501286576,0.5684430893980695,0.009570201627337687,0.7200368131306574,0.270392985242005,0.0,0.10088238821880896,0.8991176117811909,0.0,0.2720613818963417,0.6957162373411974,0.042445939093235796,0.018736580506183046,0.507047752361701,0.431769728038879,0.03939991453821666,0.4094182434944079,0.5511818419673755,1.0,0.36993353550086355,0.6300664644991364,0.0,0.0,0.03406466955113862,0.06480244253798084,0.0,0.03222238076246089
