,"('??10,000 to ??14,999 per year', ""Don't know"")","('??10,000 to ??14,999 per year', 'I would/will not vote')","('??10,000 to ??14,999 per year', 'Leave the EU')","('??10,000 to ??14,999 per year', 'Stay/remain in the EU')","('??100,000 to ??149,999 per year', ""Don't know"")","('??100,000 to ??149,999 per year', 'I would/will not vote')","('??100,000 to ??149,999 per year', 'Leave the EU')","('??100,000 to ??149,999 per year', 'Stay/remain in the EU')","('??15,000 to ??19,999 per year', ""Don't know"")","('??15,000 to ??19,999 per year', 'I would/will not vote')","('??15,000 to ??19,999 per year', 'Leave the EU')","('??15,000 to ??19,999 per year', 'Stay/remain in the EU')","('??150,000 and over', ""Don't know"")","('??150,000 and over', 'I would/will not vote')","('??150,000 and over', 'Leave the EU')","('??150,000 and over', 'Stay/remain in the EU')","('??20,000 to ??24,999 per year', ""Don't know"")","('??20,000 to ??24,999 per year', 'I would/will not vote')","('??20,000 to ??24,999 per year', 'Leave the EU')","('??20,000 to ??24,999 per year', 'Stay/remain in the EU')","('??25,000 to ??29,999 per year', ""Don't know"")","('??25,000 to ??29,999 per year', 'I would/will not vote')","('??25,000 to ??29,999 per year', 'Leave the EU')","('??25,000 to ??29,999 per year', 'Stay/remain in the EU')","('??30,000 to ??34,999 per year', ""Don't know"")","('??30,000 to ??34,999 per year', 'I would/will not vote')","('??30,000 to ??34,999 per year', 'Leave the EU')","('??30,000 to ??34,999 per year', 'Stay/remain in the EU')","('??35,000 to ??39,999 per year', ""Don't know"")","('??35,000 to ??39,999 per year', 'I would/will not vote')","('??35,000 to ??39,999 per year', 'Leave the EU')","('??35,000 to ??39,999 per year', 'Stay/remain in the EU')","('??40,000 to ??44,999 per year', ""Don't know"")","('??40,000 to ??44,999 per year', 'I would/will not vote')","('??40,000 to ??44,999 per year', 'Leave the EU')","('??40,000 to ??44,999 per year', 'Stay/remain in the EU')","('??45,000 to ??49,999 per year', ""Don't know"")","('??45,000 to ??49,999 per year', 'Leave the EU')","('??45,000 to ??49,999 per year', 'Stay/remain in the EU')","('??5,000 to ??9,999 per year', ""Don't know"")","('??5,000 to ??9,999 per year', 'I would/will not vote')","('??5,000 to ??9,999 per year', 'Leave the EU')","('??5,000 to ??9,999 per year', 'Stay/remain in the EU')","('??50,000 to ??59,999 per year', ""Don't know"")","('??50,000 to ??59,999 per year', 'I would/will not vote')","('??50,000 to ??59,999 per year', 'Leave the EU')","('??50,000 to ??59,999 per year', 'Stay/remain in the EU')","('??60,000 to ??69,999 per year', ""Don't know"")","('??60,000 to ??69,999 per year', 'I would/will not vote')","('??60,000 to ??69,999 per year', 'Leave the EU')","('??60,000 to ??69,999 per year', 'Stay/remain in the EU')","('??70,000 to ??99,999 per year', ""Don't know"")","('??70,000 to ??99,999 per year', 'Leave the EU')","('??70,000 to ??99,999 per year', 'Stay/remain in the EU')","(""Don't know"", ""Don't know"")","(""Don't know"", 'I would/will not vote')","(""Don't know"", 'Leave the EU')","(""Don't know"", 'Stay/remain in the EU')","('Prefer not to answer', ""Don't know"")","('Prefer not to answer', 'I would/will not vote')","('Prefer not to answer', 'Leave the EU')","('Prefer not to answer', 'Stay/remain in the EU')","('under ??5,000 per year', ""Don't know"")","('under ??5,000 per year', 'I would/will not vote')","('under ??5,000 per year', 'Leave the EU')","('under ??5,000 per year', 'Stay/remain in the EU')","('??45,000 to ??49,999 per year', 'I would/will not vote')","('??70,000 to ??99,999 per year', 'I would/will not vote')",Waves
4,0.1440730182611824,0.00850431932286118,0.4999351839313678,0.347487478484588,0.10817566546052772,0.0,0.17288513330345512,0.7189392012360171,0.16336202142368886,0.05250385778949181,0.462096736028266,0.32203738475855387,0.07878441431730926,0.0,0.5326419621848417,0.3885736234978492,0.12208188325902404,0.02879897203181811,0.4058459423858324,0.44327320232332545,0.16699818485797144,0.0026295628163679335,0.4053187240326839,0.4250535282929764,0.16160225569847494,0.016355092241726335,0.38177642624678154,0.44026622581301716,0.12947156208799832,0.018563738049754003,0.4595159012998993,0.39244879856234793,0.05957533866607061,0.0,0.28132435713987575,0.6591003041940531,0.18570619097897076,0.3715445566859338,0.4427492523350957,0.1415970975665892,0.02966732274171155,0.4634151868814282,0.36532039281027123,0.12818771034810242,0.0,0.3471527277678585,0.5246595618840391,0.23721858252279698,0.017573164587954052,0.19726117981427677,0.5479470730749727,0.16127130319329347,0.29469307953935653,0.5440356172673505,0.18793102944768802,0.03765338146025827,0.3369056758695982,0.4375099132224554,0.18926908728249248,0.013778335364172986,0.3704010307684152,0.42655154658491845,0.2054715015686303,0.1332375335907157,0.30598614460116436,0.3553048202394893,0.0,0.0,6
5,0.038828855490539466,0.005908393921672902,0.5813272957271245,0.3739354548606627,0.04334552544778905,0.005015614502264969,0.23506737065058586,0.7165714893993599,0.07915196541024716,0.008848201733727416,0.602508798356428,0.3094910344995978,0.031100150226509964,0.0,0.6346741648221113,0.33422568495137905,0.06351456433800859,0.0028007339374415984,0.5128333281417138,0.4208513735828359,0.11789240636934674,0.0009074260972686081,0.4603913692936685,0.42080879823971584,0.04368066097899909,0.0,0.5210306978175341,0.43528864120346666,0.02437577059889394,0.024608042317998936,0.4919812715530169,0.4590349155300898,0.07708272775161704,0.0,0.42178612916318026,0.5011311430852023,0.09628050865164765,0.40020277508170526,0.5035167162666473,0.04248612428996659,0.011693863254376676,0.5595206825256464,0.3862993299300104,0.07044209184008586,0.0,0.42403129305050463,0.5055266151094094,0.08233209852520028,0.017573164587954052,0.4292101944756603,0.47088454241118566,0.05520173890248413,0.38764210848015956,0.5571561526173567,0.031900522876381406,0.03675908684595917,0.4495272478836247,0.48181314239403467,0.06769165549947717,0.0028590761248002052,0.5258872194114211,0.40356204896429987,0.11367265814494416,0.0,0.5182987377367845,0.3680286041182711,0.0,0.0,7
6,0.0707670856019342,0.0054057507529239705,0.5838334153424662,0.3399937483026752,0.028243429288724354,0.0,0.22592905409509853,0.7458275166161771,0.052351237415621234,0.0,0.6155912854536243,0.33205747713075473,0.009149672257991182,0.0,0.5823527833664707,0.40849754437553853,0.06887887198944904,0.00026512998371057433,0.4930248359166248,0.4378311621102155,0.043777812407155815,0.03475846331997567,0.43988548383257503,0.48157824044029324,0.05440372701237493,0.0027888943049549078,0.5188617820652596,0.4239455966174105,0.017567631777968516,0.013132699746743722,0.4942925467887084,0.47500712168657927,0.04260122119038216,0.0,0.4514723874361287,0.5059263913734887,0.03909556285773181,0.5157567296700304,0.4451477074722382,0.030907297441513774,0.0,0.5923838731289099,0.3767088294295764,0.06872686139103137,0.0,0.41769781604387285,0.5135753225650959,0.09687349693098463,0.0,0.383705143335588,0.5194213597334277,0.05698473424474702,0.36122897302191675,0.5817862927333366,0.008527528196816467,0.014155393412283128,0.4958002024488672,0.4815168759420333,0.07171477118911992,0.00042340207467439804,0.5377449455484979,0.39011688118770604,0.0874747530143616,0.0,0.5356653385190828,0.3768599084665552,0.0,0.0,8
7,0.0112677141643565,0.0,0.5995495021201449,0.38918278371549825,0.0,0.0,0.25422101965892807,0.7457789803410717,0.0235355459849669,0.0,0.6092715958241057,0.36719285819092784,0.0,0.0,0.5508651110737305,0.44913488892626985,0.001056021400540804,0.0,0.5235428009462341,0.47540117765322487,0.0,0.0,0.5013174844647521,0.4986825155352477,0.0021433521335829605,0.0,0.5439154344206825,0.45394121344573446,0.0029341293169153774,0.0,0.4809279388126413,0.5161379318704429,0.010460713107175909,0.0,0.4442214578617393,0.5453178290310844,0.0,0.5086221500235333,0.4913778499764671,0.0,0.0,0.5920134201892989,0.40798657981070124,0.013813778678620884,0.0,0.41974709895105333,0.5664391223703258,0.0,0.0,0.41280246731467973,0.5871975326853205,0.0022655373762099362,0.3660075519894148,0.6317269106343757,0.0013793962740596022,0.0,0.47149619037706336,0.5271244133488769,0.013270371614596502,0.0,0.5473364933043047,0.4393931350810969,0.0,0.0,0.5351934527874572,0.4648065472125423,0.0,0.0,9
8,0.09929440999680605,0.009060551427728247,0.5216872341405004,0.3699578044349646,0.05123308264577292,0.0,0.20004757900890482,0.7487193383453222,0.03224616381176731,0.007052160052465452,0.6061622217019487,0.35453945443381907,0.009149672257991182,0.0,0.5508651110737305,0.43998521666827867,0.03257818998526079,0.003900252086747332,0.4709131453222425,0.49260841260574934,0.03720962896726158,0.022949463027336352,0.47680985415089644,0.4630310538545053,0.009990386790832417,0.0028915527968355493,0.5139335181987369,0.473184542213595,0.03640387565447291,0.0028096915884328506,0.4510981649796607,0.5096882677774333,0.02066882488788523,0.03324820643886429,0.38753468976255323,0.5585482789106969,0.027281495836905055,0.4795955152552187,0.4931229889078766,0.01269770757903476,0.013748969363938811,0.5623979420033168,0.4111553810537097,0.06148326206719533,0.0013521050362324397,0.38846835751212766,0.5486962753844447,0.02835698245845137,0.010390044830315262,0.3287775239088022,0.6324754488024317,0.05646688256157618,0.26710904991095075,0.6726224741187721,0.030032095845071886,0.007603480906466205,0.42771497014582255,0.5346494531026394,0.03437822175159607,0.00860670039874166,0.5067576979604581,0.45025737988920267,0.008135830025622749,0.013923555455035486,0.5205273233954667,0.4574132911238747,0.0,0.003801593408701612,10
9,0.03419993912363499,0.053025389300330815,0.5350283165814044,0.3777463549946295,0.0067614721806621425,0.0,0.2696942357978113,0.7235442920215263,0.052683109326942305,0.015059016232804357,0.6012036126803291,0.33105426175992475,0.0,0.0,0.5728155890422493,0.42718441095775095,0.035245099691616065,0.0017136602808933597,0.4763443246704771,0.48669691535701315,0.029225186347561913,0.05771108497110216,0.44204429482937824,0.4710194338519574,0.028269938919129316,0.013976044159281524,0.5166889165644802,0.44106510035710883,0.025239700149831554,0.01691198870188194,0.46216026936482185,0.4956880417834644,0.02557571816486265,0.013226919825509251,0.4092140694006193,0.5519832926090086,0.04348551620441743,0.4854164080263866,0.4710980757691963,0.021099244930484987,0.01888635549852416,0.5705128572523424,0.38950154231864875,0.04177517875068009,0.003129865374233647,0.38078283013318664,0.5743121257418997,0.055836552275400034,0.010390044830315262,0.4087705207621517,0.5250028821321333,0.06587514053283981,0.3025123943557312,0.6213119858632999,0.03169506989606181,0.016482773967415393,0.4435890558465517,0.508233100289971,0.06880016312957357,0.009042272387379102,0.5061379920867543,0.41601957239629167,0.008135830025622749,0.0,0.5344508788505021,0.4574132911238747,0.0,0.010300479248129435,11
10,0.07163058465344464,0.0054057507529239705,0.5606345919916669,0.362329072601964,0.011777086682927112,0.0,0.24441650476860777,0.7438064085484648,0.04978507208929727,0.011832112440043048,0.6013340948146667,0.3370487206559935,0.0,0.0,0.6251369704978899,0.37486302950211037,0.05556488741452941,0.003044454374193223,0.46163533183669836,0.47975532637457885,0.02111730715047406,0.04818766934449027,0.45282733097854,0.4778676925264953,0.019415026765347954,0.0014205338458364645,0.5353361664915317,0.4438282728972837,0.029469217518446323,0.0,0.47500284747404165,0.4955279350075116,0.022431786319776437,0.001141810676389665,0.4042271250842206,0.572199277919613,0.055957136459343026,0.49925362240784765,0.43431510085956926,0.012490872751622539,0.005225178545499016,0.5833770247081216,0.398906923994757,0.05565676460991234,0.006120281906797824,0.39447453434317725,0.5437484191401127,0.05503063413538794,0.008698951445439248,0.35776219403967935,0.5785082203794938,0.06134703732444139,0.29928373526605684,0.6290687481613726,0.037880485684964896,0.0,0.45330541757984816,0.5088140967351868,0.059788099571047464,0.005091997055898987,0.5112025577678474,0.42391734560520483,0.032411444034863714,0.0,0.5094326909043061,0.4581558650608298,0.010474140273240182,0.010300479248129435,12
11,0.035683107374792314,0.011351190260169956,0.555680089839451,0.39728561252558625,0.011777086682927112,0.0,0.23836797665693435,0.7498549366601384,0.02178691010975666,0.010718672256521608,0.6157505827228696,0.35174383491085254,0.0,0.0,0.5728155890422493,0.42718441095775095,0.035182137939413424,0.00549782670062258,0.46711844226452226,0.49220159309544165,0.029591319196098646,0.0015177598651358892,0.4830070854785745,0.4858838354601907,0.023903178128391624,0.009324516855697452,0.516309763107479,0.4504625419084317,0.045051971153305746,0.002920354052065934,0.45741998887029695,0.494607685924331,0.010350717044592683,0.0,0.4087966125259189,0.5808526704294881,0.012353235815723625,0.45442419305669335,0.5332225711275833,0.01042306523857784,0.01524620442679111,0.5702726606946599,0.4040580696399714,0.05533061183493722,0.0013521050362324397,0.37931321163512244,0.5640040714937079,0.02733718690619993,0.0,0.38585523308203634,0.586807580011764,0.028262142417097205,0.31561947096323095,0.6420163139628411,0.033654522134941973,0.0,0.43618956892714517,0.5301559089379129,0.05686985079583675,0.0068132619718584775,0.4921144151132908,0.4442024721190125,0.02122447767545561,0.0,0.5206196572637142,0.4581558650608298,0.0,0.014102072656831046,13
