,Waves,"('Civil Partnership', ""Don't know"")","('Civil Partnership', 'Leave the EU')","('Civil Partnership', 'Stay/remain in the EU')","('Divorced', ""Don't know"")","('Divorced', 'I would/will not vote')","('Divorced', 'Leave the EU')","('Divorced', 'Stay/remain in the EU')","('Living as married', ""Don't know"")","('Living as married', 'I would/will not vote')","('Living as married', 'Leave the EU')","('Living as married', 'Stay/remain in the EU')","('Married', ""Don't know"")","('Married', 'I would/will not vote')","('Married', 'Leave the EU')","('Married', 'Stay/remain in the EU')","('Never married', ""Don't know"")","('Never married', 'I would/will not vote')","('Never married', 'Leave the EU')","('Never married', 'Stay/remain in the EU')","('Separated (after being married)', ""Don't know"")","('Separated (after being married)', 'Leave the EU')","('Separated (after being married)', 'Stay/remain in the EU')","('Widowed', ""Don't know"")","('Widowed', 'I would/will not vote')","('Widowed', 'Leave the EU')","('Widowed', 'Stay/remain in the EU')","('Civil Partnership', 'I would/will not vote')"
0,2014-03-09,0.07136495903775315,0.47326857058089716,0.45536647038134975,0.1304700738669927,0.016225695109922413,0.4880666499497659,0.36523758107331983,0.17967671524775278,0.020921470703434548,0.39872390466534485,0.40067790938346787,0.1541159788796476,0.016442893859137893,0.4835155567385166,0.34592557052269846,0.1505160536056943,0.033805391585244156,0.39033386981047274,0.42534468499858885,0.14102104274034297,0.48102379384282185,0.3779551634168349,0.16815447289765295,0.023187750621693468,0.5287232895527554,0.27993448692789813,0.015764183941491167
1,2014-06-25,0.059663183426756486,0.25122471940608815,0.6891120971671555,0.13405012351817178,0.028990770526349952,0.4739663683991815,0.3629927375562975,0.17018237891912472,0.00860301172079824,0.3770095398659278,0.4442050694941492,0.1449937079243711,0.03306754792657073,0.4534140265501563,0.3685247175989018,0.19783262993290834,0.04054553099829758,0.372666691996925,0.3889551470718693,0.1613463317854086,0.4688452189362849,0.36980844927830636,0.16625708706062794,0.009623038367243368,0.5151307892420796,0.30898908533004915,0.0
2,2014-10-17,0.09382656876153528,0.40339374132337785,0.5027796899150869,0.08098891084268714,0.01180835365549401,0.5033190202132531,0.40388371528856626,0.1227226317446647,0.03651959310936774,0.39409236850832924,0.4466654066376383,0.14296051421174913,0.02053459652269941,0.47063237866021196,0.3658725106053398,0.17785736781503594,0.03931788936754921,0.3878233775251448,0.3950013652922702,0.14188623246493595,0.4786803723361599,0.37943339519890384,0.15616843926559223,0.03206017445296365,0.5524384391553194,0.25933294712612454,0.0
3,2015-03-30,0.11175696242778622,0.24689163526571128,0.6413514023065026,0.10035665968033589,0.030328210628765406,0.4687699417512119,0.4005451879396874,0.1454381899318429,0.033289830363848985,0.3761964798376436,0.4450754998666645,0.13420142049418957,0.04307888910779102,0.4404176058077023,0.38230208459031734,0.17295001108159308,0.03650460166130589,0.3771076112615002,0.4134377759956011,0.11048871478069333,0.5062859198429569,0.38322536537634955,0.08216672362302681,0.009321490006748817,0.5794554311268765,0.32905635524334775,0.0
4,2015-05-26,0.10174262343918292,0.2007276079219917,0.6975297686388254,0.10630553525556866,0.005077866029239486,0.44370537287452916,0.44491122584066334,0.16194871882283157,0.03220957432751065,0.3360108581014021,0.4698308487482554,0.152847690329522,0.0190304308070201,0.40842552842219104,0.4196963504412669,0.18933757666766227,0.02539631398946205,0.3370708599309152,0.44819524941196065,0.11940283030118239,0.4720294560751706,0.40856771362364674,0.14002874120700212,0.018944528373992187,0.48307982793878573,0.35794690248022,0.0
5,2016-05-4,0.028921941353321684,0.2937365933491227,0.6773414652975557,0.047057242741803104,0.004856972316394794,0.5556891837864654,0.3923966011553375,0.03264753324991815,0.006227759367946656,0.5158686806451773,0.4452560267369582,0.07633514896373868,0.005030426742813988,0.5070149891449188,0.4116194351485288,0.05692577264730465,0.0157891683598484,0.4573998248036181,0.4698852341892289,0.04856043311112155,0.5478856314790249,0.4035539354098532,0.05608665242066359,0.0,0.5661811848252926,0.37773216275404364,0.0
6,2016-06-22,0.0367700706171652,0.2573841545979283,0.7058457747849066,0.03895838513899581,0.0,0.5533897914776131,0.4076518233833917,0.04473382191534536,0.0,0.5038632451277157,0.4514029329569391,0.05004782827296941,0.00336749808361851,0.5359752976655405,0.4106093759778722,0.07144580997603286,0.013623509681219687,0.4302825015235114,0.48464817881923633,0.08381625865651449,0.49435135414690157,0.4218323871965836,0.034909294426882724,0.0,0.6191411703531813,0.34594953521993604,0.0
7,2016-07-04,0.0,0.3748894318360269,0.6251105681639731,0.0015761512393760084,0.0,0.5262215303908285,0.4722023183697962,0.006266448999788342,0.0,0.4886594080653612,0.5050741429348505,0.008619892984541792,0.0,0.5490251548997499,0.4423549521157089,0.006893885232704488,0.0,0.4528917642203849,0.5402143505469108,0.0,0.509247324028044,0.4907526759719559,0.006954263967368984,0.0,0.6190864542991072,0.37395928173352383,0.0
8,2016-12-12,0.0,0.4679675100915414,0.5320324899084586,0.02265672135016222,0.009261726910013963,0.49607518255617306,0.47200636918365135,0.030531404091996367,0.003754018651774277,0.4250502573867696,0.54066431986946,0.041529732404482995,0.010875554334307818,0.5047029147811853,0.44289179848002436,0.0408523281504611,0.00819750922977064,0.41117217126614064,0.539777991353628,0.0463073979938039,0.46869706934866845,0.48499553265752743,0.030669211609948583,0.009614617341327708,0.6164943583332463,0.34322181271547725,0.0
9,2017-05-03,0.058914692920735756,0.35912524789453576,0.5661958752432373,0.04512551180779642,0.022916068214839064,0.5069732764796826,0.4249851434976824,0.036634851933564236,0.0008536047656106582,0.4491270902997145,0.5133844530011107,0.04545054415640064,0.013016185184367311,0.5130001358730044,0.4285331347862284,0.03291932095337831,0.03534616608024947,0.41474283950994734,0.5169916734564249,0.05399125057206282,0.4643823451527366,0.48162640427520037,0.021910076202539867,0.010635758257185431,0.616287016152966,0.3511671493873087,0.0
