"","id","num_wave_voted","num_switch","switch_ratio","ifswitch"
"42530",57483,5,0,0,0
"42531",57485,4,0,0,0
"42532",57486,4,3,0.75,1
"42533",57487,6,4,0.666666666666667,1
"42534",57493,2,0,0,0
"42535",57494,6,0,0,0
"42536",57495,3,0,0,0
"42537",57496,6,0,0,0
"42538",57497,6,0,0,0
"42539",57499,1,0,0,0
"42540",57500,2,0,0,0
"42541",57505,6,0,0,0
"42542",57507,2,1,0.5,1
"42543",57508,3,0,0,0
"42544",57509,4,1,0.25,1
"42545",57510,2,0,0,0
"42546",57512,5,0,0,0
"42547",57513,5,3,0.6,1
"42548",57514,3,0,0,0
"42549",57518,2,0,0,0
"42550",57520,4,0,0,0
"42551",57524,5,0,0,0
"42552",57525,1,0,0,0
"42553",57526,1,0,0,0
"42554",57527,5,0,0,0
"42555",57528,3,0,0,0
"42556",57530,3,0,0,0
"42557",57531,1,0,0,0
"42558",57533,3,0,0,0
"42559",57535,2,0,0,0
"42560",57537,4,0,0,0
"42561",57538,1,0,0,0
"42562",57539,2,0,0,0
"42563",57540,1,0,0,0
"42564",57541,2,0,0,0
"42565",57542,4,2,0.5,1
"42566",57544,4,0,0,0
"42567",57545,1,0,0,0
"42568",57546,4,0,0,0
"42569",57547,3,0,0,0
"42570",57548,1,0,0,0
"42571",57549,4,0,0,0
"42572",57550,1,0,0,0
"42573",57552,4,0,0,0
"42574",57553,2,0,0,0
"42575",57554,4,0,0,0
"42576",57557,2,0,0,0
"42577",57559,1,0,0,0
"42578",57560,2,0,0,0
"42579",57562,4,0,0,0
"42580",57563,4,0,0,0
"42581",57565,4,0,0,0
"42582",57566,1,0,0,0
"42583",57567,4,0,0,0
"42584",57569,4,0,0,0
"42585",57570,4,0,0,0
"42586",57573,4,1,0.25,1
"42587",57576,4,0,0,0
"42588",57578,4,0,0,0
"42589",57579,3,0,0,0
"42590",57580,4,0,0,0
"42591",57581,2,0,0,0
"42592",57582,4,0,0,0
"42593",57583,3,0,0,0
"42594",57584,4,0,0,0
"42595",57586,4,0,0,0
"42596",57587,3,0,0,0
"42597",57588,2,0,0,0
"42598",57589,4,0,0,0
"42599",57590,1,0,0,0
"42600",57592,4,0,0,0
"42601",57594,3,0,0,0
"42602",57595,1,0,0,0
"42603",57596,1,0,0,0
"42604",57597,3,0,0,0
"42605",57599,3,2,0.666666666666667,1
"42606",57600,2,0,0,0
"42607",57601,4,3,0.75,1
"42608",57602,4,0,0,0
"42609",57603,3,0,0,0
"42610",57606,3,0,0,0
"42611",57608,1,0,0,0
"42612",57612,4,0,0,0
"42613",57613,1,0,0,0
"42614",57614,4,0,0,0
"42615",57615,1,0,0,0
"42616",57616,3,0,0,0
"42617",57617,4,0,0,0
"42618",57618,4,0,0,0
"42619",57620,4,0,0,0
"42620",57621,3,1,0.333333333333333,1
"42621",57622,4,0,0,0
"42622",57626,4,0,0,0
"42623",57627,4,0,0,0
"42624",57630,2,0,0,0
"42625",57631,3,1,0.333333333333333,1
"42626",57633,2,0,0,0
"42627",57635,1,0,0,0
"42628",57636,4,0,0,0
"42629",57637,4,0,0,0
"42630",57638,2,0,0,0
"42631",57640,2,0,0,0
"42632",57641,4,0,0,0
"42633",57643,4,0,0,0
"42634",57644,2,0,0,0
"42635",57645,4,0,0,0
"42636",57646,3,1,0.333333333333333,1
"42637",57647,3,0,0,0
"42638",57648,4,0,0,0
"42639",57650,4,1,0.25,1
"42640",57651,4,0,0,0
"42641",57652,1,0,0,0
"42642",57653,4,0,0,0
"42643",57654,4,0,0,0
"42644",57655,4,0,0,0
"42645",57656,3,1,0.333333333333333,1
"42646",57657,4,0,0,0
"42647",57658,4,0,0,0
"42648",57659,4,0,0,0
"42649",57660,2,0,0,0
"42650",57663,4,0,0,0
"42651",57664,4,2,0.5,1
"42652",57666,1,0,0,0
"42653",57667,4,1,0.25,1
"42654",57669,4,0,0,0
"42655",57670,4,0,0,0
"42656",57671,4,0,0,0
"42657",57675,4,0,0,0
"42658",57677,2,0,0,0
"42659",57678,4,0,0,0
"42660",57679,4,2,0.5,1
"42661",57680,4,0,0,0
"42662",57685,4,0,0,0
"42663",57686,4,2,0.5,1
"42664",57687,1,0,0,0
"42665",57688,2,1,0.5,1
"42666",57689,2,0,0,0
"42667",57690,1,0,0,0
"42668",57692,1,0,0,0
"42669",57693,4,2,0.5,1
"42670",57694,4,0,0,0
"42671",57696,4,0,0,0
"42672",57697,4,0,0,0
"42673",57698,4,0,0,0
"42674",57700,4,0,0,0
"42675",57702,1,0,0,0
"42676",57703,3,1,0.333333333333333,1
"42677",57704,2,0,0,0
"42678",57705,4,0,0,0
"42679",57706,4,0,0,0
"42680",57707,2,0,0,0
"42681",57708,1,0,0,0
"42682",57710,1,0,0,0
"42683",57711,4,0,0,0
"42684",57712,4,0,0,0
"42685",57713,3,0,0,0
"42686",57714,4,0,0,0
"42687",57716,4,0,0,0
"42688",57717,2,0,0,0
"42689",57719,3,0,0,0
"42690",57720,1,0,0,0
"42691",57721,4,0,0,0
"42692",57722,4,0,0,0
"42693",57723,3,0,0,0
"42694",57725,4,0,0,0
"42695",57726,4,0,0,0
"42696",57727,2,0,0,0
"42697",57728,4,0,0,0
"42698",57729,4,0,0,0
"42699",57730,4,0,0,0
"42700",57731,3,0,0,0
"42701",57732,4,0,0,0
"42702",57733,1,0,0,0
"42703",57734,3,0,0,0
"42704",57736,3,1,0.333333333333333,1
"42705",57737,4,0,0,0
"42706",57739,2,0,0,0
"42707",57740,1,0,0,0
"42708",57741,4,1,0.25,1
"42709",57743,3,0,0,0
"42710",57744,3,1,0.333333333333333,1
"42711",57746,4,0,0,0
"42712",57747,4,0,0,0
"42713",57748,2,0,0,0
"42714",57749,4,0,0,0
"42715",57750,1,0,0,0
"42716",57752,1,0,0,0
"42717",57753,2,0,0,0
"42718",57756,4,0,0,0
"42719",57757,4,0,0,0
"42720",57760,1,0,0,0
"42721",57761,1,0,0,0
"42722",57762,4,2,0.5,1
"42723",57763,3,0,0,0
"42724",57764,3,0,0,0
"42725",57765,2,0,0,0
"42726",57766,1,0,0,0
"42727",57768,3,0,0,0
"42728",57769,3,2,0.666666666666667,1
"42729",57771,4,0,0,0
"42730",57772,3,0,0,0
"42731",57774,4,1,0.25,1
"42732",57775,4,0,0,0
"42733",57776,4,0,0,0
"42734",57777,4,2,0.5,1
"42735",57778,4,1,0.25,1
"42736",57779,4,2,0.5,1
"42737",57780,4,0,0,0
"42738",57781,3,0,0,0
"42739",57783,4,1,0.25,1
"42740",57785,4,0,0,0
"42741",57786,4,0,0,0
"42742",57787,3,0,0,0
"42743",57788,1,0,0,0
"42744",57789,2,0,0,0
"42745",57790,4,2,0.5,1
"42746",57791,4,0,0,0
"42747",57792,4,0,0,0
"42748",57794,1,0,0,0
"42749",57795,4,0,0,0
"42750",57796,3,0,0,0
"42751",57797,2,0,0,0
"42752",57798,2,0,0,0
"42753",57799,2,0,0,0
"42754",57800,2,0,0,0
"42755",57801,3,1,0.333333333333333,1
"42756",57802,4,0,0,0
"42757",57803,4,0,0,0
"42758",57804,4,0,0,0
"42759",57806,1,0,0,0
"42760",57807,4,0,0,0
"42761",57808,3,0,0,0
"42762",57809,4,0,0,0
"42763",57811,4,0,0,0
"42764",57812,4,0,0,0
"42765",57813,4,0,0,0
"42766",57815,3,0,0,0
"42767",57816,3,0,0,0
"42768",57817,4,0,0,0
"42769",57818,4,0,0,0
"42770",57820,4,0,0,0
"42771",57821,4,0,0,0
"42772",57822,4,0,0,0
"42773",57823,4,0,0,0
"42774",57824,3,0,0,0
"42775",57825,3,0,0,0
"42776",57826,4,1,0.25,1
"42777",57828,1,0,0,0
"42778",57829,4,0,0,0
"42779",57830,2,0,0,0
"42780",57834,1,0,0,0
"42781",57835,1,0,0,0
"42782",57836,4,0,0,0
"42783",57837,3,0,0,0
"42784",57838,3,1,0.333333333333333,1
"42785",57839,4,1,0.25,1
"42786",57840,4,0,0,0
"42787",57841,3,1,0.333333333333333,1
"42788",57843,1,0,0,0
"42789",57844,3,0,0,0
"42790",57845,4,0,0,0
"42791",57846,3,1,0.333333333333333,1
"42792",57847,3,0,0,0
"42793",57848,3,0,0,0
"42794",57849,4,0,0,0
"42795",57850,4,0,0,0
"42796",57851,4,1,0.25,1
"42797",57852,4,0,0,0
"42798",57853,2,0,0,0
"42799",57854,3,0,0,0
"42800",57855,2,0,0,0
"42801",57860,2,0,0,0
"42802",57861,4,0,0,0
"42803",57862,1,0,0,0
"42804",57863,2,0,0,0
"42805",57864,1,0,0,0
"42806",57865,4,0,0,0
"42807",57866,4,0,0,0
"42808",57868,4,0,0,0
"42809",57869,4,0,0,0
"42810",57870,4,0,0,0
"42811",57871,4,0,0,0
"42812",57872,3,0,0,0
"42813",57874,4,0,0,0
"42814",57876,1,0,0,0
"42815",57877,4,0,0,0
"42816",57878,3,1,0.333333333333333,1
"42817",57880,4,0,0,0
"42818",57881,4,0,0,0
"42819",57883,4,0,0,0
"42820",57884,1,0,0,0
"42821",57885,1,0,0,0
"42822",57886,4,0,0,0
"42823",57887,3,0,0,0
"42824",57888,1,0,0,0
"42825",57889,1,0,0,0
"42826",57890,1,0,0,0
"42827",57891,4,2,0.5,1
"42828",57892,4,0,0,0
"42829",57894,4,0,0,0
"42830",57895,4,0,0,0
"42831",57896,1,0,0,0
"42832",57897,4,0,0,0
"42833",57898,4,0,0,0
"42834",57899,4,0,0,0
"42835",57900,3,0,0,0
"42836",57901,4,0,0,0
"42837",57902,4,0,0,0
"42838",57904,4,0,0,0
"42839",57907,1,0,0,0
"42840",57908,3,0,0,0
"42841",57909,4,0,0,0
