"id","num_wave_voted","num_bi_switch","bi_switch_ratio","bi_ifswitch"
255,2,0,0,0
256,6,0,0,0
257,1,0,0,0
258,9,0,0,0
259,2,0,0,0
260,10,0,0,0
261,11,0,0,0
262,4,0,0,0
263,10,0,0,0
264,2,0,0,0
265,9,1,0.125,1
266,9,0,0,0
267,12,0,0,0
268,2,0,0,0
269,12,6,0.545454545454545,1
270,10,0,0,0
271,10,0,0,0
272,10,1,0.111111111111111,1
273,12,2,0.181818181818182,1
274,12,0,0,0
275,2,0,0,0
276,11,1,0.1,1
277,1,0,0,0
278,12,0,0,0
279,11,0,0,0
280,10,0,0,0
281,4,1,0.333333333333333,1
282,10,0,0,0
283,6,1,0.2,1
284,11,2,0.2,1
285,12,0,0,0
286,7,1,0.166666666666667,1
287,8,0,0,0
288,12,0,0,0
289,5,0,0,0
290,2,0,0,0
291,2,0,0,0
292,1,0,0,0
293,12,0,0,0
294,2,0,0,0
295,10,0,0,0
296,9,0,0,0
297,11,1,0.1,1
298,12,0,0,0
299,3,0,0,0
300,7,2,0.333333333333333,1
301,8,1,0.142857142857143,1
302,5,0,0,0
303,9,0,0,0
304,2,0,0,0
305,10,0,0,0
306,2,0,0,0
307,12,0,0,0
308,12,0,0,0
309,9,0,0,0
310,2,0,0,0
311,6,0,0,0
312,6,0,0,0
313,2,0,0,0
314,1,0,0,0
315,4,0,0,0
316,2,0,0,0
317,3,0,0,0
318,5,0,0,0
319,2,0,0,0
320,8,2,0.285714285714286,1
321,7,0,0,0
322,2,0,0,0
323,2,0,0,0
324,7,0,0,0
325,10,0,0,0
326,2,0,0,0
327,1,0,0,0
328,2,0,0,0
329,5,0,0,0
330,2,0,0,0
331,12,0,0,0
332,5,0,0,0
333,2,0,0,0
334,10,0,0,0
335,1,0,0,0
336,6,0,0,0
337,3,0,0,0
338,2,0,0,0
339,2,0,0,0
340,12,0,0,0
341,7,0,0,0
342,5,0,0,0
343,7,0,0,0
344,12,0,0,0
345,8,0,0,0
346,10,2,0.222222222222222,1
347,9,0,0,0
348,2,0,0,0
349,11,0,0,0
350,11,2,0.2,1
351,2,0,0,0
352,9,0,0,0
353,11,1,0.1,1
354,9,2,0.25,1
355,7,0,0,0
356,12,2,0.181818181818182,1
357,4,0,0,0
358,11,0,0,0
359,2,0,0,0
360,1,0,0,0
361,1,0,0,0
362,2,0,0,0
363,10,0,0,0
364,1,0,0,0
365,10,1,0.111111111111111,1
366,9,0,0,0
367,8,0,0,0
368,5,0,0,0
369,11,0,0,0
370,10,0,0,0
371,12,1,0.0909090909090909,1
372,5,0,0,0
373,11,0,0,0
374,1,0,0,0
375,6,0,0,0
376,12,0,0,0
377,11,0,0,0
378,1,0,0,0
379,10,0,0,0
380,12,1,0.0909090909090909,1
381,7,0,0,0
382,3,0,0,0
383,12,0,0,0
384,12,0,0,0
385,3,1,0.5,1
386,8,0,0,0
387,2,0,0,0
388,9,0,0,0
389,11,0,0,0
390,9,0,0,0
391,4,0,0,0
392,2,0,0,0
393,5,0,0,0
394,11,0,0,0
395,9,2,0.25,1
396,12,0,0,0
397,7,3,0.5,1
398,12,0,0,0
399,6,0,0,0
400,1,0,0,0
401,1,0,0,0
402,2,0,0,0
403,7,0,0,0
404,5,1,0.25,1
405,12,0,0,0
406,9,0,0,0
407,10,0,0,0
408,5,0,0,0
409,11,0,0,0
410,2,0,0,0
411,8,0,0,0
412,7,1,0.166666666666667,1
413,3,0,0,0
414,2,0,0,0
415,5,0,0,0
416,11,0,0,0
417,9,1,0.125,1
418,2,0,0,0
419,8,0,0,0
420,10,0,0,0
421,3,0,0,0
422,5,0,0,0
423,8,0,0,0
424,7,0,0,0
425,8,0,0,0
426,5,0,0,0
427,2,0,0,0
428,9,0,0,0
429,12,0,0,0
430,11,0,0,0
431,10,0,0,0
432,5,0,0,0
433,12,0,0,0
434,12,0,0,0
435,10,0,0,0
436,2,0,0,0
437,6,0,0,0
438,10,0,0,0
439,10,0,0,0
440,5,0,0,0
441,5,0,0,0
442,7,0,0,0
443,12,0,0,0
444,5,2,0.5,1
445,10,0,0,0
446,9,0,0,0
447,11,2,0.2,1
448,3,0,0,0
449,12,0,0,0
450,8,0,0,0
451,8,0,0,0
452,5,0,0,0
453,9,0,0,0
454,3,0,0,0
455,10,0,0,0
456,12,0,0,0
457,2,1,1,1
458,11,0,0,0
459,6,0,0,0
460,11,1,0.1,1
461,11,0,0,0
462,5,2,0.5,1
463,3,0,0,0
464,11,0,0,0
465,4,0,0,0
466,10,0,0,0
467,10,0,0,0
468,11,0,0,0
469,10,0,0,0
470,5,0,0,0
471,11,0,0,0
472,3,0,0,0
473,1,0,0,0
474,3,0,0,0
475,2,0,0,0
476,11,0,0,0
477,9,0,0,0
478,10,0,0,0
479,8,0,0,0
480,4,0,0,0
481,11,0,0,0
482,2,0,0,0
483,3,0,0,0
484,10,0,0,0
485,11,0,0,0
486,10,0,0,0
487,2,0,0,0
488,10,1,0.111111111111111,1
489,12,0,0,0
490,4,0,0,0
491,11,0,0,0
492,10,0,0,0
493,2,0,0,0
494,5,1,0.25,1
495,10,0,0,0
496,4,0,0,0
497,8,0,0,0
498,4,0,0,0
499,4,0,0,0
500,7,1,0.166666666666667,1
501,7,0,0,0
502,7,1,0.166666666666667,1
503,12,0,0,0
504,2,0,0,0
505,2,0,0,0
506,12,0,0,0
507,7,0,0,0
508,7,0,0,0
509,10,0,0,0
510,12,0,0,0
511,10,0,0,0
512,12,0,0,0
513,5,1,0.25,1
514,5,0,0,0
515,12,3,0.272727272727273,1
516,9,0,0,0
517,8,0,0,0
518,6,1,0.2,1
519,12,0,0,0
520,10,0,0,0
521,5,0,0,0
522,10,0,0,0
523,10,0,0,0
524,2,0,0,0
525,12,1,0.0909090909090909,1
526,4,0,0,0
527,10,1,0.111111111111111,1
528,7,0,0,0
529,6,2,0.4,1
530,11,0,0,0
531,1,0,0,0
532,2,0,0,0
