"","id","num_wave_present","num_switch","switch_ratio","ifswitch"
"40085",40946,6,2,0.333333333333333,1
"40086",40947,3,0,0,0
"40087",40948,10,2,0.2,1
"40088",40949,5,4,0.8,1
"40089",40950,1,0,0,0
"40090",40951,10,0,0,0
"40091",40952,2,0,0,0
"40092",40953,5,1,0.2,1
"40093",40954,3,1,0.333333333333333,1
"40094",40955,10,5,0.5,1
"40095",40956,3,0,0,0
"40096",40957,9,0,0,0
"40097",40958,5,1,0.2,1
"40098",40959,1,0,0,0
"40099",40960,10,1,0.1,1
"40100",40961,8,1,0.125,1
"40101",40962,5,1,0.2,1
"40102",40963,3,0,0,0
"40103",40964,9,3,0.333333333333333,1
"40104",40965,9,0,0,0
"40105",40966,3,1,0.333333333333333,1
"40106",40967,5,0,0,0
"40107",40968,9,0,0,0
"40108",40969,2,0,0,0
"40109",40970,10,0,0,0
"40110",40971,3,0,0,0
"40111",40972,3,0,0,0
"40112",40973,9,1,0.111111111111111,1
"40113",40974,3,0,0,0
"40114",40975,5,0,0,0
"40115",40976,1,0,0,0
"40116",40977,6,1,0.166666666666667,1
"40117",40978,6,3,0.5,1
"40118",40979,6,0,0,0
"40119",40980,6,0,0,0
"40120",40981,4,0,0,0
"40121",40982,7,1,0.142857142857143,1
"40122",40983,3,0,0,0
"40123",40984,1,0,0,0
"40124",40985,10,5,0.5,1
"40125",40986,3,0,0,0
"40126",40987,3,0,0,0
"40127",40988,10,2,0.2,1
"40128",40989,3,0,0,0
"40129",40990,9,4,0.444444444444444,1
"40130",40991,9,0,0,0
"40131",40992,2,1,0.5,1
"40132",40993,3,0,0,0
"40133",40994,2,0,0,0
"40134",40995,4,1,0.25,1
"40135",40996,3,0,0,0
"40136",40997,5,0,0,0
"40137",40998,4,0,0,0
"40138",40999,7,2,0.285714285714286,1
"40139",41000,9,0,0,0
"40140",41001,8,4,0.5,1
"40141",41002,3,0,0,0
"40142",41003,9,1,0.111111111111111,1
"40143",41004,10,0,0,0
"40144",41005,2,0,0,0
"40145",41006,4,0,0,0
"40146",41007,10,0,0,0
"40147",41008,9,1,0.111111111111111,1
"40148",41009,8,1,0.125,1
"40149",41010,8,0,0,0
"40150",41011,7,1,0.142857142857143,1
"40151",41012,2,0,0,0
"40152",41013,3,0,0,0
"40153",41014,7,1,0.142857142857143,1
"40154",41015,2,0,0,0
"40155",41016,9,1,0.111111111111111,1
"40156",41017,10,0,0,0
"40157",41018,4,0,0,0
"40158",41019,1,0,0,0
"40159",41020,7,1,0.142857142857143,1
"40160",41021,5,1,0.2,1
"40161",41022,3,0,0,0
"40162",41023,3,1,0.333333333333333,1
"40163",41024,8,0,0,0
"40164",41025,8,0,0,0
"40165",41026,10,0,0,0
"40166",41027,10,1,0.1,1
"40167",41028,8,1,0.125,1
"40168",41029,3,0,0,0
"40169",41030,9,2,0.222222222222222,1
"40170",41031,6,2,0.333333333333333,1
"40171",41032,10,0,0,0
"40172",41033,1,0,0,0
"40173",41034,7,2,0.285714285714286,1
"40174",41035,10,3,0.3,1
"40175",41036,8,0,0,0
"40176",41037,2,0,0,0
"40177",41038,3,0,0,0
"40178",41039,3,0,0,0
"40179",41040,4,0,0,0
"40180",41041,4,0,0,0
"40181",41042,1,0,0,0
"40182",41043,10,0,0,0
"40183",41044,5,1,0.2,1
"40184",41045,6,3,0.5,1
"40185",41046,6,1,0.166666666666667,1
"40186",41047,8,0,0,0
"40187",41048,9,0,0,0
"40188",41049,5,2,0.4,1
"40189",41050,5,0,0,0
"40190",41051,3,0,0,0
"40191",41052,5,0,0,0
"40192",41053,6,2,0.333333333333333,1
"40193",41054,2,0,0,0
"40194",41055,6,0,0,0
"40195",41056,10,0,0,0
"40196",41057,2,0,0,0
"40197",41058,3,1,0.333333333333333,1
"40198",41059,3,1,0.333333333333333,1
"40199",41060,1,0,0,0
"40200",41061,5,0,0,0
"40201",41062,3,0,0,0
"40202",41063,10,3,0.3,1
"40203",41064,3,0,0,0
"40204",41065,2,0,0,0
"40205",41066,5,2,0.4,1
"40206",41067,1,0,0,0
"40207",41068,5,0,0,0
"40208",41069,10,5,0.5,1
"40209",41070,9,0,0,0
"40210",41071,6,2,0.333333333333333,1
"40211",41072,4,2,0.5,1
"40212",41073,3,1,0.333333333333333,1
"40213",41074,7,1,0.142857142857143,1
"40214",41075,3,0,0,0
"40215",41076,3,0,0,0
"40216",41077,3,0,0,0
"40217",41078,6,0,0,0
"40218",41079,3,0,0,0
"40219",41080,5,0,0,0
"40220",41081,3,0,0,0
"40221",41082,10,0,0,0
"40222",41083,4,0,0,0
"40223",41084,10,2,0.2,1
"40224",41085,4,0,0,0
"40225",41086,3,1,0.333333333333333,1
"40226",41087,10,2,0.2,1
"40227",41088,6,0,0,0
"40228",41089,3,0,0,0
"40229",41090,2,0,0,0
"40230",41091,1,0,0,0
"40231",41092,7,0,0,0
"40232",41093,6,0,0,0
"40233",41094,10,0,0,0
"40234",41095,7,0,0,0
"40235",41096,6,2,0.333333333333333,1
"40236",41097,1,0,0,0
"40237",41098,4,0,0,0
"40238",41099,3,0,0,0
"40239",41100,6,2,0.333333333333333,1
"40240",41101,1,0,0,0
"40241",41102,2,0,0,0
"40242",41103,3,1,0.333333333333333,1
"40243",41104,6,0,0,0
"40244",41105,3,0,0,0
"40245",41106,8,4,0.5,1
"40246",41107,6,0,0,0
"40247",41108,1,0,0,0
"40248",41109,3,0,0,0
"40249",41110,7,3,0.428571428571429,1
"40250",41111,5,0,0,0
"40251",41112,10,2,0.2,1
"40252",41113,9,0,0,0
"40253",41114,4,0,0,0
"40254",41115,10,2,0.2,1
"40255",41116,9,2,0.222222222222222,1
"40256",41117,6,3,0.5,1
"40257",41118,3,0,0,0
"40258",41119,3,0,0,0
"40259",41120,1,0,0,0
"40260",41121,6,0,0,0
"40261",41122,2,0,0,0
"40262",41123,10,0,0,0
"40263",41124,6,2,0.333333333333333,1
"40264",41125,7,0,0,0
"40265",41126,9,0,0,0
"40266",41127,3,0,0,0
"40267",41128,3,1,0.333333333333333,1
"40268",41129,3,0,0,0
"40269",41130,3,0,0,0
"40270",41131,3,1,0.333333333333333,1
"40271",41132,5,0,0,0
"40272",41133,4,2,0.5,1
"40273",41134,10,0,0,0
"40274",41135,4,1,0.25,1
"40275",41136,10,1,0.1,1
"40276",41137,5,1,0.2,1
"40277",41138,4,0,0,0
"40278",41139,9,0,0,0
"40279",41140,3,0,0,0
"40280",41141,6,0,0,0
"40281",41142,5,2,0.4,1
"40282",41143,3,0,0,0
"40283",41144,1,0,0,0
"40284",41145,5,0,0,0
"40285",41146,6,1,0.166666666666667,1
"40286",41147,4,1,0.25,1
"40287",41148,7,0,0,0
"40288",41149,6,2,0.333333333333333,1
"40289",41150,9,0,0,0
"40290",41151,4,0,0,0
"40291",41152,3,1,0.333333333333333,1
"40292",41153,3,0,0,0
"40293",41154,2,0,0,0
"40294",41155,10,3,0.3,1
"40295",41156,3,0,0,0
"40296",41157,1,0,0,0
"40297",41158,9,0,0,0
"40298",41159,1,0,0,0
"40299",41160,5,0,0,0
"40300",41161,2,0,0,0
"40301",41162,3,0,0,0
"40302",41163,3,0,0,0
"40303",41164,9,1,0.111111111111111,1
"40304",41165,5,2,0.4,1
"40305",41166,7,2,0.285714285714286,1
"40306",41167,2,0,0,0
"40307",41168,3,0,0,0
"40308",41169,8,3,0.375,1
"40309",41170,5,0,0,0
"40310",41171,2,0,0,0
"40311",41172,9,2,0.222222222222222,1
"40312",41173,5,2,0.4,1
"40313",41174,4,2,0.5,1
"40314",41175,2,1,0.5,1
"40315",41176,8,2,0.25,1
"40316",41177,3,0,0,0
"40317",41178,9,2,0.222222222222222,1
"40318",41179,3,1,0.333333333333333,1
"40319",41180,3,0,0,0
"40320",41181,3,0,0,0
"40321",41182,6,0,0,0
"40322",41183,8,0,0,0
"40323",41184,9,1,0.111111111111111,1
"40324",41185,1,0,0,0
"40325",41186,7,1,0.142857142857143,1
"40326",41187,6,0,0,0
"40327",41188,10,0,0,0
"40328",41189,2,0,0,0
"40329",41190,3,0,0,0
"40330",41191,5,0,0,0
"40331",41192,4,0,0,0
"40332",41193,9,4,0.444444444444444,1
"40333",41194,9,1,0.111111111111111,1
