"","id","num_wave_voted","num_switch","switch_ratio","ifswitch"
"43946",59464,1,0,0,0
"43947",59467,4,0,0,0
"43948",59468,3,0,0,0
"43949",59470,1,0,0,0
"43950",59472,2,0,0,0
"43951",59474,3,0,0,0
"43952",59475,3,0,0,0
"43953",59476,4,0,0,0
"43954",59477,4,0,0,0
"43955",59480,3,1,0.333333333333333,1
"43956",59483,1,0,0,0
"43957",59484,4,0,0,0
"43958",59485,3,0,0,0
"43959",59486,3,2,0.666666666666667,1
"43960",59488,4,0,0,0
"43961",59490,4,0,0,0
"43962",59491,3,0,0,0
"43963",59492,3,2,0.666666666666667,1
"43964",59493,1,0,0,0
"43965",59495,1,0,0,0
"43966",59496,3,0,0,0
"43967",59497,1,0,0,0
"43968",59498,3,0,0,0
"43969",59499,4,0,0,0
"43970",59502,2,0,0,0
"43971",59504,3,1,0.333333333333333,1
"43972",59505,3,0,0,0
"43973",59506,1,0,0,0
"43974",59507,1,0,0,0
"43975",59508,4,2,0.5,1
"43976",59509,4,0,0,0
"43977",59511,4,0,0,0
"43978",59512,1,0,0,0
"43979",59513,4,0,0,0
"43980",59514,2,0,0,0
"43981",59515,2,0,0,0
"43982",59516,4,0,0,0
"43983",59517,1,0,0,0
"43984",59518,4,0,0,0
"43985",59519,4,0,0,0
"43986",59520,3,0,0,0
"43987",59521,3,0,0,0
"43988",59523,4,0,0,0
"43989",59525,1,0,0,0
"43990",59526,3,0,0,0
"43991",59527,3,0,0,0
"43992",59528,4,1,0.25,1
"43993",59529,4,0,0,0
"43994",59530,4,0,0,0
"43995",59531,4,3,0.75,1
"43996",59532,4,0,0,0
"43997",59534,3,0,0,0
"43998",59536,4,0,0,0
"43999",59537,2,0,0,0
"44000",59538,4,0,0,0
"44001",59541,4,0,0,0
"44002",59543,4,0,0,0
"44003",59544,3,0,0,0
"44004",59545,4,0,0,0
"44005",59546,4,0,0,0
"44006",59547,2,0,0,0
"44007",59548,1,0,0,0
"44008",59549,1,0,0,0
"44009",59550,4,0,0,0
"44010",59553,1,0,0,0
"44011",59554,3,0,0,0
"44012",59555,4,0,0,0
"44013",59556,4,0,0,0
"44014",59557,4,0,0,0
"44015",59558,3,0,0,0
"44016",59560,4,0,0,0
"44017",59561,4,2,0.5,1
"44018",59562,1,0,0,0
"44019",59563,4,0,0,0
"44020",59564,4,0,0,0
"44021",59565,1,0,0,0
"44022",59568,1,0,0,0
"44023",59569,1,0,0,0
"44024",59571,3,0,0,0
"44025",59574,4,0,0,0
"44026",59575,4,0,0,0
"44027",59576,4,0,0,0
"44028",59577,3,0,0,0
"44029",59578,1,0,0,0
"44030",59579,2,0,0,0
"44031",59580,3,0,0,0
"44032",59581,3,0,0,0
"44033",59582,4,0,0,0
"44034",59585,4,0,0,0
"44035",59586,3,1,0.333333333333333,1
"44036",59587,1,0,0,0
"44037",59589,4,0,0,0
"44038",59590,3,0,0,0
"44039",59591,4,0,0,0
"44040",59592,3,0,0,0
"44041",59594,3,1,0.333333333333333,1
"44042",59596,1,0,0,0
"44043",59597,3,0,0,0
"44044",59598,2,1,0.5,1
"44045",59600,3,0,0,0
"44046",59601,2,0,0,0
"44047",59602,4,0,0,0
"44048",59604,1,0,0,0
"44049",59606,4,2,0.5,1
"44050",59607,3,0,0,0
"44051",59608,1,0,0,0
"44052",59609,3,0,0,0
"44053",59610,3,0,0,0
"44054",59611,3,0,0,0
"44055",59613,4,0,0,0
"44056",59614,2,0,0,0
"44057",59615,4,0,0,0
"44058",59616,3,0,0,0
"44059",59617,3,0,0,0
"44060",59618,4,0,0,0
"44061",59620,4,0,0,0
"44062",59621,4,2,0.5,1
"44063",59622,4,1,0.25,1
"44064",59623,2,0,0,0
"44065",59624,4,0,0,0
"44066",59626,3,0,0,0
"44067",59628,3,0,0,0
"44068",59629,3,0,0,0
"44069",59632,4,0,0,0
"44070",59633,3,0,0,0
"44071",59634,3,0,0,0
"44072",59635,4,2,0.5,1
"44073",59636,4,0,0,0
"44074",59638,2,0,0,0
"44075",59639,2,0,0,0
"44076",59640,4,0,0,0
"44077",59641,4,1,0.25,1
"44078",59643,4,0,0,0
"44079",59644,4,0,0,0
"44080",59645,4,0,0,0
"44081",59646,4,0,0,0
"44082",59647,4,0,0,0
"44083",59648,2,0,0,0
"44084",59650,4,0,0,0
"44085",59651,2,0,0,0
"44086",59654,2,0,0,0
"44087",59655,4,0,0,0
"44088",59656,1,0,0,0
"44089",59657,3,0,0,0
"44090",59658,3,0,0,0
"44091",59660,4,0,0,0
"44092",59664,3,0,0,0
"44093",59666,4,0,0,0
"44094",59667,1,0,0,0
"44095",59669,3,0,0,0
"44096",59670,3,2,0.666666666666667,1
"44097",59671,4,1,0.25,1
"44098",59672,1,0,0,0
"44099",59673,1,0,0,0
"44100",59674,1,0,0,0
"44101",59675,4,0,0,0
"44102",59676,1,0,0,0
"44103",59678,1,0,0,0
"44104",59679,4,0,0,0
"44105",59680,3,0,0,0
"44106",59682,4,0,0,0
"44107",59684,4,0,0,0
"44108",59686,4,0,0,0
"44109",59687,1,0,0,0
"44110",59688,4,0,0,0
"44111",59692,3,2,0.666666666666667,1
"44112",59693,2,0,0,0
"44113",59694,1,0,0,0
"44114",59695,2,0,0,0
"44115",59696,1,0,0,0
"44116",59697,1,0,0,0
"44117",59698,3,0,0,0
"44118",59699,2,0,0,0
"44119",59701,2,0,0,0
"44120",59703,3,0,0,0
"44121",59704,4,0,0,0
"44122",59705,4,0,0,0
"44123",59706,4,0,0,0
"44124",59707,4,0,0,0
